# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'task-clock:ppp'
# Event count (approx.): 2626500000
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  ........................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac6090a7
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac609566
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60b296
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60b310
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60b34f
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60b422
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60bdb2
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60bdbc
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60bdd4
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60be5a
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60be6e
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60bf17
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60c0dc
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60c0df
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac60c116
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac6300a4
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac63020e
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac633fae
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac63406a
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac6340b1
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac634705
