Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.50     0.00        6     0.00     0.00  std::remove_reference<std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl&>::type&& std::move<std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl&>(std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl&)
  0.00      0.50     0.00        6     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.50     0.00        6     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      0.50     0.00        6     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      0.50     0.00        6     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
  0.00      0.50     0.00        4     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.50     0.00        4     0.00     0.00  bool __gnu_cxx::operator!=<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > > const&, __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      0.50     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&)
  0.00      0.50     0.00        3     0.00     2.28  CachePerformanceAnalyzer::createMatrix(int, int)
  0.00      0.50     0.00        3     0.00     0.00  CachePerformanceAnalyzer::ParticleSystemAoS::resize(unsigned long)
  0.00      0.50     0.00        3     0.00     0.00  CachePerformanceAnalyzer::ParticleSystemAoS::ParticleSystemAoS()
  0.00      0.50     0.00        3     0.00     0.00  CachePerformanceAnalyzer::ParticleSystemAoS::~ParticleSystemAoS()
  0.00      0.50     0.00        3     0.00     3.33  CachePerformanceAnalyzer::ParticleSystemSoA::resize(unsigned long)
  0.00      0.50     0.00        3     0.00     0.00  CachePerformanceAnalyzer::ParticleSystemSoA::ParticleSystemSoA()
  0.00      0.50     0.00        3     0.00     0.00  CachePerformanceAnalyzer::ParticleSystemSoA::~ParticleSystemSoA()
